Number,Title,ProjectData2018Number,weeks,artist,peak_pos,change,genre,tempo,duration_ms,,,number,title,artist
133,Juice,189,6,Yo Gotti,90,-10,"[u'dirty south rap', u'dwn trap', u'gangster rap', u'hip hop', u'memphis hip hop', u'pop', u'pop rap', u'rap', u'southern hip hop', u'trap music']",162.038,149242,,,133,44 More,Logic
134,Africa,56,1,Weezer,89,New,"[u'alternative rock', u'modern rock', u'permanent wave', u'pop punk', u'pop rock', u'post-grunge', u'rock']",92.223,238148,,,134,Betrayed,Lil Xan
135,It's The Most Wonderful Time Of The Year,199,5,Andy Williams,32,-6,"[u'adult standards', u'brill building pop', u'christmas', u'easy listening', u'lounge', u'mellow gold', u'operatic pop']",202.082,151933,,,135,Booty,Blac Youngsta
136,Once An Addict (Interlude),102,1,J. Cole,47,New,"[u'conscious hip hop', u'pop', u'pop rap', u'rap']",82.36,197822,,,136,Lost In Japan,Shawn Mendes
137,Chun-Li,9,10,Nicki Minaj,10,3,"[u'dance pop', u'hip pop', u'pop', u'pop rap', u'rap']",97.092,191606,,,137,Narcos,Migos
138,Man Of The Woods,168,1,Justin Timberlake,73,New,"[u'dance pop', u'pop']",97.04,278893,,,138,Rubbin Off The Paint,YBN Nahmir
139,Midnight,144,1,Logic,74,New,"[u'conscious hip hop', u'hip hop', u'pop rap', u'rap']",95.032,241427,,,139,Everybody Hates Me,The Chainsmokers
140,44 More,133,5,Logic,22,-15,"[u'conscious hip hop', u'hip hop', u'pop rap', u'rap']",139.971,188600,,,140,How Long,Charlie Puth
141,God's Plan,19,21,Drake,1,1,"[u'canadian hip hop', u'canadian pop', u'hip hop', u'pop rap', u'rap']",77.169,198973,,,141,Young Dumb & Broke,Khalid
142,Make Me Feel,151,1,Janelle Monae,99,New,"[u'dance pop', u'electropop', u'indie r&b', u'neo soul', u'pop', u'r&b']",115.035,194230,,,142,BoomTrap Protocol,Logic
143,Let It Sing,74,1,Kevin Gates,82,New,"[u'hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap music']",144.964,195456,,,143,Contra,Logic
144,That's What I Like,190,52,Bruno Mars,1,-6,"[u'dance pop', u'pop', u'post-teen pop']",134.066,206693,,,144,Midnight,Logic
145,When We,85,20,Tank,78,6,"[u'dance pop', u'deep pop r&b', u'r&b', u'urban contemporary']",117.747,280678,,,145,Overnight,Logic
146,Feel It Still,99,45,Portugal. The Man,4,-11,"[u'modern rock', u'neo-psychedelic']",79.028,163253,,,146,Sorry Not Sorry,Demi Lovato
147,Don't Go Breaking My Heart,71,1,Backstreet Boys,99,New,"[u'boy band', u'dance pop', u'europop', u'pop']",94.858,215724,,,147,Yuck,Logic
148,Beautiful Crazy,5,4,Luke Combs,58,-16,"[u'contemporary country', u'country road']",103.313,193200,,,148,Paramedic!,SOB X RBE
149,I Was Jack (You Were Diane),23,3,Jake Owen,86,0,"[u'contemporary country', u'country', u'country road', u'modern country rock']",94.014,188013,,,149,Bodak Yellow (Money Moves),Cardi B
150,Cudi Montage,10,1,KIDS SEE GHOSTS,69,New,"[u'hip hop', u'pop', u'pop rap', u'rap']",110.011,197001,,,150,Break Up In The End,Cole Swindell
,,,,,,,,,,,,151,Make Me Feel,Janelle Monae
,,,,,,,,,,,,152,Rock,Plies
,,,,,,,,,,,,153,Want You Back,5 Seconds Of Summer
,,,,,,,,,,,,154,You Broke Up With Me,Walker Hayes
,,,,,,,,,,,,155,Yours,Russell Dickerson
,,,,,,,,,,,,156,Female,Keith Urban
,,,,,,,,,,,,157,Gucci Gang,Lil Pump
,,,,,,,,,,,,158,Legends,Kelsea Ballerini
,,,,,,,,,,,,159,One Foot,WALK THE MOON
,,,,,,,,,,,,160,Shape Of You,Ed Sheeran
,,,,,,,,,,,,161,Too Good At Goodbyes,Sam Smith
,,,,,,,,,,,,162,Black Panther,Kendrick Lamar
,,,,,,,,,,,,163,Filthy,Justin Timberlake
,,,,,,,,,,,,164,A Girl Like You,Easton Corbin
,,,,,,,,,,,,165,Diplomatic Immunity,Drake
,,,,,,,,,,,,166,Like I Loved You,Brett Young
,,,,,,,,,,,,167,Losing Sleep,Chris Young
,,,,,,,,,,,,168,Man Of The Woods,Justin Timberlake
,,,,,,,,,,,,169,Sick Boy,The Chainsmokers
,,,,,,,,,,,,170,Supplies,Justin Timberlake
,,,,,,,,,,,,171,Auto Pilot,Migos
,,,,,,,,,,,,172,Believer,Imagine Dragons
,,,,,,,,,,,,173,Emoji A Chain,Migos
,,,,,,,,,,,,174,Gang Gang,Migos
,,,,,,,,,,,,175,Higher We Go (Intro),Migos
,,,,,,,,,,,,176,Round Here Buzz,Eric Church
,,,,,,,,,,,,177,Supastars,Migos
,,,,,,,,,,,,178,Attention,Charlie Puth
,,,,,,,,,,,,179,Bank Account,21 Savage
,,,,,,,,,,,,180,Greatest Love Story,LANCO
,,,,,,,,,,,,181,I'll Name The Dogs,Blake Shelton
,,,,,,,,,,,,182,My Dawg,Lil Baby
,,,,,,,,,,,,183,Never Enough,Loren Allred
,,,,,,,,,,,,184,No Name,NF
,,,,,,,,,,,,185,...Ready For It?,Taylor Swift
,,,,,,,,,,,,186,My My My!,Troye Sivan
,,,,,,,,,,,,187,The Weekend,SZA
,,,,,,,,,,,,188,I Could Use A Love Song,Maren Morris
,,,,,,,,,,,,189,Juice,Yo Gotti
,,,,,,,,,,,,190,That's What I Like,Bruno Mars
,,,,,,,,,,,,191,Too Much To Ask,Niall Horan
,,,,,,,,,,,,192,Light It Up,Luke Bryan
,,,,,,,,,,,,193,Look What You Made Me Do,Taylor Swift
,,,,,,,,,,,,194,What About Us,P!nk
,,,,,,,,,,,,195,A Holly Jolly Christmas,Burl Ives
,,,,,,,,,,,,196,All I Want For Christmas Is You,Mariah Carey
,,,,,,,,,,,,197,Black & Chinese,Huncho Jack
,,,,,,,,,,,,198,Huncho Jack,Huncho Jack
,,,,,,,,,,,,199,It's The Most Wonderful Time Of The Year,Andy Williams
,,,,,,,,,,,,200,Modern Slavery,Huncho Jack
,,,,,,,,,,,,201,Motorcycle Patches,Huncho Jack
,,,,,,,,,,,,202,Rockin' Around The Christmas Tree,Brenda Lee
,,,,,,,,,,,,203,Saint,Huncho Jack
,,,,,,,,,,,,204,The Christmas Song (Merry Christmas To You),Nat King Cole
,,,,,,,,,,,,205,The Race,Tay-K
